Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Decedent's home,65-74 years,54,1871,19,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Decedent's home,75-84 years,47,2442,39,,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Decedent's home,85 years and over,85,4000,70,,,148,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Decedent's home,All ages,228,11028,141,17,,357,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, dead on arrival",0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, dead on arrival",15-44 years,,108,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, dead on arrival",45-64 years,0,91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, dead on arrival",65-74 years,,38,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, dead on arrival",75-84 years,,31,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, dead on arrival",85 years and over,,23,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, dead on arrival",All ages,,296,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, inpatient",0-14 years,,129,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, inpatient",15-44 years,54,482,31,,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, inpatient",45-64 years,566,2450,366,193,19,758,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, inpatient",65-74 years,779,2753,560,315,17,1038,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, inpatient",75-84 years,996,3469,665,393,20,1288,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, inpatient",85 years and over,1161,3872,826,464,11,1534,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, inpatient",All ages,3557,13155,2451,1374,71,4702,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, outpatient or emergency room",0-14 years,,48,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, outpatient or emergency room",15-44 years,,332,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, outpatient or emergency room",45-64 years,38,606,,,,46,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, outpatient or emergency room",65-74 years,52,457,17,,0,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, outpatient or emergency room",75-84 years,46,453,20,,,58,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, outpatient or emergency room",85 years and over,59,433,37,11,0,85,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,"Healthcare setting, outpatient or emergency room",All ages,201,2329,87,28,,262,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Hospice facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Hospice facility,15-44 years,,22,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Hospice facility,45-64 years,,193,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Hospice facility,65-74 years,17,231,13,10,0,20,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Hospice facility,75-84 years,23,339,19,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Hospice facility,85 years and over,38,480,30,14,0,54,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Hospice facility,All ages,84,1265,66,33,0,117,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Nursing home/longterm care facility,15-44 years,,16,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Nursing home/longterm care facility,45-64 years,76,374,10,,0,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Nursing home/longterm care facility,65-74 years,225,882,53,22,0,256,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Nursing home/longterm care facility,75-84 years,605,2046,126,73,,661,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Nursing home/longterm care facility,85 years and over,1495,5217,371,178,11,1699,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Nursing home/longterm care facility,All ages,2402,8535,562,278,14,2700,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Other,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Other,15-44 years,0,399,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Other,45-64 years,,335,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Other,65-74 years,,196,,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Other,75-84 years,25,332,,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Other,85 years and over,106,900,23,10,0,119,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Other,All ages,144,2166,35,13,0,166,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Place of death unknown,15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Place of death unknown,45-64 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Place of death unknown,65-74 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Place of death unknown,75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Place of death unknown,85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Place of death unknown,All ages,0,15,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,All places of death,All ages,714,17392,1175,168,37,1758,
2/17/2021,1/4/2020,2/13/2021,1,Maine,Decedent's home,0-14 years,0,14,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Decedent's home,15-44 years,,385,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Decedent's home,45-64 years,,1331,21,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Decedent's home,65-74 years,,1389,32,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Decedent's home,75-84 years,13,1608,42,,0,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Decedent's home,85 years and over,11,1678,62,,,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Decedent's home,All ages,35,6405,163,,,193,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, dead on arrival",0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, dead on arrival",15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, dead on arrival",45-64 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, dead on arrival",65-74 years,,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, dead on arrival",75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, dead on arrival",85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, dead on arrival",All ages,,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, inpatient",0-14 years,0,64,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, inpatient",15-44 years,,139,12,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, inpatient",45-64 years,38,733,98,10,,132,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, inpatient",65-74 years,66,930,157,31,,195,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, inpatient",75-84 years,105,1050,220,42,,288,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, inpatient",85 years and over,88,913,184,31,10,251,
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, inpatient",All ages,300,3829,671,116,26,881,
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, outpatient or emergency room",0-14 years,0,15,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, outpatient or emergency room",15-44 years,0,48,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, outpatient or emergency room",45-64 years,,125,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, outpatient or emergency room",65-74 years,,112,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, outpatient or emergency room",75-84 years,,120,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, outpatient or emergency room",85 years and over,,90,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,"Healthcare setting, outpatient or emergency room",All ages,11,510,29,,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Hospice facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Hospice facility,15-44 years,0,21,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Maine,Hospice facility,45-64 years,0,288,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Hospice facility,65-74 years,,413,14,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Hospice facility,75-84 years,,509,25,,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Hospice facility,85 years and over,,588,23,,0,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Hospice facility,All ages,15,1820,66,,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Maine,Nursing home/longterm care facility,15-44 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Nursing home/longterm care facility,45-64 years,,129,,0,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Nursing home/longterm care facility,65-74 years,41,397,17,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Nursing home/longterm care facility,75-84 years,110,1026,68,14,,165,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Nursing home/longterm care facility,85 years and over,187,2253,134,20,,303,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Nursing home/longterm care facility,All ages,344,3811,229,39,,537,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Other,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Other,15-44 years,,248,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Other,45-64 years,,305,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Other,65-74 years,0,142,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Other,75-84 years,,124,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Other,85 years and over,,178,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Other,All ages,,1001,16,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Maine,Place of death unknown,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Maine,Place of death unknown,45-64 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Place of death unknown,65-74 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Maine,Place of death unknown,75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Place of death unknown,85 years and over,,,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Maine,Place of death unknown,All ages,,,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,All places of death,All ages,11736,76136,8598,4514,216,16027,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Decedent's home,0-14 years,0,11,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Decedent's home,15-44 years,,1268,,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Decedent's home,45-64 years,69,3933,41,10,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Decedent's home,65-74 years,65,4104,66,12,,122,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Decedent's home,75-84 years,96,4975,111,24,,186,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Decedent's home,85 years and over,183,7365,256,56,,389,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,Decedent's home,All ages,421,21656,483,103,20,820,
2/17/2021,1/4/2020,2/13/2021,1,Massachusetts,"Healthcare setting, dead on arrival",0-14 years,0,23,0,0,0,0,
